ticker,form_type,accession,filed_date,period_of_report,word_count,file_path,artificial_intelligence_count,artificial_intelligence_density,generative_ai_count,generative_ai_density,machine_learning_count,machine_learning_density,large_language_model_count,large_language_model_density,llm_count,llm_density,data_center_count,data_center_density,accelerated_computing_count,accelerated_computing_density,automation_count,automation_density,gpu_count,gpu_density,cloud_computing_count,cloud_computing_density,sec_ai_total_count,sec_ai_density,sec_ai_density_yoy_change,sec_ai_count_yoy_change
AAPL,10-K,0000320193-22-000108,2022-10-28,2022-09-24,33786,e:\Om\signalscope\data\sec\sec-edgar-filings\AAPL\10-K\0000320193-22-000108\full-submission.txt,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,8.87941751021133e-05,0,0.0,0,0.0,0,0.0,0,0.0,3,8.87941751021133e-05,,
AAPL,10-K,0000320193-23-000106,2023-11-03,2023-09-30,31484,e:\Om\signalscope\data\sec\sec-edgar-filings\AAPL\10-K\0000320193-23-000106\full-submission.txt,1,3.1762164909160206e-05,0,0.0,1,3.1762164909160206e-05,0,0.0,0,0.0,3,9.528649472748063e-05,0,0.0,0,0.0,0,0.0,0,0.0,5,0.00015881082454580105,7.001664944368775e-05,2.0
AAPL,10-K,0000320193-24-000123,2024-11-01,2024-09-28,31879,e:\Om\signalscope\data\sec\sec-edgar-filings\AAPL\10-K\0000320193-24-000123\full-submission.txt,3,9.410583769879859e-05,0,0.0,2,6.273722513253239e-05,0,0.0,0,0.0,3,9.410583769879859e-05,0,0.0,0,0.0,0,0.0,0,0.0,8,0.00025094890053012955,9.21380759843285e-05,3.0
AMZN,10-K,0001018724-22-000005,2022-02-04,2021-12-31,39817,e:\Om\signalscope\data\sec\sec-edgar-filings\AMZN\10-K\0001018724-22-000005\full-submission.txt,3,7.534470201170354e-05,0,0.0,4,0.0001004596026822714,0,0.0,0,0.0,8,0.0002009192053645428,0,0.0,0,0.0,0,0.0,0,0.0,15,0.0003767235100585177,,
AMZN,10-K,0001018724-23-000004,2023-02-03,2022-12-31,42155,e:\Om\signalscope\data\sec\sec-edgar-filings\AMZN\10-K\0001018724-23-000004\full-submission.txt,3,7.116593523899893e-05,0,0.0,4,9.488791365199858e-05,0,0.0,0,0.0,9,0.0002134978057169968,0,0.0,0,0.0,0,0.0,0,0.0,16,0.00037955165460799433,2.8281445494766303e-06,1.0
AMZN,10-K,0001018724-24-000008,2024-02-02,2023-12-31,44436,e:\Om\signalscope\data\sec\sec-edgar-filings\AMZN\10-K\0001018724-24-000008\full-submission.txt,9,0.0002025384823116392,0,0.0,6,0.00013502565487442613,0,0.0,0,0.0,8,0.00018003420649923484,0,0.0,0,0.0,0,0.0,0,0.0,23,0.0005175983436853002,0.00013804668907730592,7.0
GOOG,10-K,0001652044-22-000019,2022-02-02,2021-12-31,52868,e:\Om\signalscope\data\sec\sec-edgar-filings\GOOG\10-K\0001652044-22-000019\full-submission.txt,1,1.891503366875993e-05,0,0.0,4,7.566013467503972e-05,0,0.0,0,0.0,6,0.00011349020201255958,0,0.0,0,0.0,0,0.0,1,1.891503366875993e-05,12,0.00022698040402511916,,
GOOG,10-K,0001652044-23-000016,2023-02-03,2022-12-31,51042,e:\Om\signalscope\data\sec\sec-edgar-filings\GOOG\10-K\0001652044-23-000016\full-submission.txt,2,3.918341757768113e-05,0,0.0,3,5.877512636652169e-05,0,0.0,0,0.0,4,7.836683515536225e-05,0,0.0,0,0.0,0,0.0,1,1.9591708788840563e-05,10,0.00019591708788840563,-3.1063316136713525e-05,-2.0
GOOG,10-K,0001652044-24-000022,2024-01-31,2023-12-31,54159,e:\Om\signalscope\data\sec\sec-edgar-filings\GOOG\10-K\0001652044-24-000022\full-submission.txt,3,5.5392455547554426e-05,4,7.385660739673923e-05,2,3.692830369836962e-05,0,0.0,0,0.0,4,7.385660739673923e-05,0,0.0,0,0.0,0,0.0,1,1.846415184918481e-05,14,0.00025849812588858733,6.25810380001817e-05,4.0
META,10-K,0001326801-22-000018,2022-02-03,2021-12-31,67111,e:\Om\signalscope\data\sec\sec-edgar-filings\META\10-K\0001326801-22-000018\full-submission.txt,4,5.960274768666835e-05,0,0.0,8,0.0001192054953733367,0,0.0,0,0.0,3,4.4702060765001266e-05,0,0.0,0,0.0,0,0.0,0,0.0,15,0.00022351030382500634,,
META,10-K,0001326801-23-000013,2023-02-02,2022-12-31,73419,e:\Om\signalscope\data\sec\sec-edgar-filings\META\10-K\0001326801-23-000013\full-submission.txt,10,0.00013620452471431102,2,2.7240904942862202e-05,13,0.0001770658821286043,0,0.0,0,0.0,17,0.0002315476920143287,0,0.0,0,0.0,0,0.0,0,0.0,42,0.0005720590038001063,0.0003485486999750999,27.0
META,10-K,0001326801-24-000012,2024-02-02,2023-12-31,77388,e:\Om\signalscope\data\sec\sec-edgar-filings\META\10-K\0001326801-24-000012\full-submission.txt,7,9.045330025326924e-05,7,9.045330025326924e-05,13,0.00016798470047035716,0,0.0,0,0.0,13,0.00016798470047035716,0,0.0,1,1.292190003618132e-05,0,0.0,0,0.0,41,0.0005297979014834342,-4.2261102316672097e-05,-1.0
MSFT,10-K,0001564590-22-026876,2022-07-28,2022-06-30,54181,e:\Om\signalscope\data\sec\sec-edgar-filings\MSFT\10-K\0001564590-22-026876\full-submission.txt,4,7.382661818718739e-05,0,0.0,4,7.382661818718739e-05,0,0.0,0,0.0,0,0.0,0,0.0,2,3.6913309093593694e-05,0,0.0,4,7.382661818718739e-05,14,0.0002583931636551559,,
MSFT,10-K,0000950170-23-035122,2023-07-27,2023-06-30,53263,e:\Om\signalscope\data\sec\sec-edgar-filings\MSFT\10-K\0000950170-23-035122\full-submission.txt,4,7.509903685485233e-05,9,0.00016897283292341775,2,3.754951842742617e-05,0,0.0,0,0.0,0,0.0,0,0.0,2,3.754951842742617e-05,0,0.0,5,9.387379606856542e-05,22,0.00041304470270168785,0.00015465153904653197,8.0
MSFT,10-K,0000950170-24-087843,2024-07-30,2024-06-30,55579,e:\Om\signalscope\data\sec\sec-edgar-filings\MSFT\10-K\0000950170-24-087843\full-submission.txt,4,7.196962881663937e-05,9,0.0001619316648374386,4,7.196962881663937e-05,0,0.0,0,0.0,0,0.0,0,0.0,1,1.7992407204159843e-05,0,0.0,4,7.196962881663937e-05,22,0.00039583295849151656,-1.7211744210171294e-05,0.0
NVDA,10-K,0001045810-22-000036,2022-03-18,2022-01-30,48105,e:\Om\signalscope\data\sec\sec-edgar-filings\NVDA\10-K\0001045810-22-000036\full-submission.txt,1,2.0787859889824343e-05,0,0.0,5,0.00010393929944912172,0,0.0,0,0.0,24,0.0004989086373557842,14,0.0002910300384575408,2,4.1575719779648686e-05,26,0.0005404843571354329,3,6.236357966947302e-05,75,0.0015590894917368258,,
NVDA,10-K,0001045810-23-000017,2023-02-24,2023-01-29,50117,e:\Om\signalscope\data\sec\sec-edgar-filings\NVDA\10-K\0001045810-23-000017\full-submission.txt,2,3.990661851268033e-05,1,1.9953309256340165e-05,6,0.00011971985553804099,0,0.0,2,3.990661851268033e-05,33,0.0006584592054592254,17,0.0003392062573577828,2,3.990661851268033e-05,24,0.00047887942215216395,1,1.9953309256340165e-05,88,0.0017558912145579344,0.00019680172282110866,13.0
NVDA,10-K,0001045810-24-000029,2024-02-21,2024-01-28,53232,e:\Om\signalscope\data\sec\sec-edgar-filings\NVDA\10-K\0001045810-24-000029\full-submission.txt,3,5.63570784490532e-05,16,0.00030057108506161706,1,1.8785692816351066e-05,0,0.0,2,3.757138563270213e-05,56,0.0010519987977156598,20,0.00037571385632702135,0,0.0,21,0.0003944995491433724,0,0.0,119,0.002235497445145777,0.0004796062305878425,31.0
